date,equity_curve
2020-01-02,100000.0
2020-02-05,93999.998
2020-02-06,93333.33200000001
2020-02-25,85999.99733333333
2020-02-26,86666.66333333332
2020-02-27,86666.66333333332
2020-02-28,86666.66333333332
2020-03-04,80000.00333333333
2020-03-05,80000.00333333333
2020-03-06,80000.00333333333
2020-03-09,80000.00333333333
2020-03-10,80000.00333333333
2020-03-11,80000.00333333333
2020-03-13,80000.00333333333
2020-03-19,80000.00333333333
2020-04-13,80000.00333333333
2020-04-14,80000.00333333333
2020-04-15,80000.00333333333
2020-04-16,80000.00333333333
2020-04-17,80000.00333333333
2020-04-21,80000.00333333333
2020-04-22,80000.00333333333
2020-04-23,80000.00333333333
2020-04-24,80000.00333333333
2020-04-27,80000.00333333333
2020-04-28,80000.00333333333
2020-05-19,80000.00333333333
2020-05-20,80000.00333333333
2020-05-21,80000.00333333333
2020-05-22,80000.00333333333
2020-05-26,80000.00333333333
2020-05-27,80000.00333333333
2020-05-28,80000.00333333333
2020-06-10,80000.00333333333
2020-06-11,80000.00333333333
2020-06-18,80000.00333333333
2020-06-19,80000.00333333333
2020-06-22,80000.00333333333
2020-06-23,63307.089933969895
2020-06-24,51023.62497674999
2020-06-25,64566.931266145824
2020-06-26,62992.1296009259
2020-06-29,60472.44315704628
2020-06-30,61417.327935706
2020-07-01,63937.010600057845
2020-07-02,62047.24860179396
2020-08-12,30866.14413437499
2020-08-13,28976.380246347217
2020-08-14,29291.340579391195
2020-08-17,28661.41991330323
2020-08-18,28346.45769049537
2020-08-19,28031.497357451386
2020-09-01,38740.160334490734
2020-09-02,36220.4738906111
2020-09-03,36535.43422365509
2020-09-04,41574.807111414346
2020-09-08,42834.64844359028
2020-09-09,39685.04133362269
2020-09-10,39685.04133362269
2020-09-11,39685.04133362269
2020-09-14,39685.04133362269
2020-09-15,39685.04133362269
2020-09-16,39685.04133362269
2020-09-18,39685.04133362269
2020-09-21,39685.04133362269
2020-09-22,39685.04133362269
2020-09-23,39685.04133362269
2020-09-24,39685.04133362269
2020-09-25,39685.04133362269
2020-09-28,39685.04133362269
2020-09-29,39685.04133362269
2020-09-30,39685.04133362269
2020-10-01,39685.04133362269
2020-10-02,39685.04133362269
2020-11-10,39685.04133362269
2020-11-11,39685.04133362269
2020-11-12,39685.04133362269
2020-11-13,39685.04133362269
2020-11-16,39685.04133362269
2020-11-17,39685.04133362269
2020-11-18,39685.04133362269
2020-11-19,39685.04133362269
2020-11-20,39685.04133362269
2020-11-27,39685.04133362269
2020-11-30,39685.04133362269
2020-12-01,39685.04133362269
2020-12-02,39685.04133362269
2020-12-03,39685.04133362269
2020-12-04,39685.04133362269
2020-12-07,39685.04133362269
2020-12-08,39685.04133362269
2020-12-09,39685.04133362269
2020-12-10,39685.04133362269
2020-12-11,39685.04133362269
2020-12-28,39685.04133362269
2020-12-29,39685.04133362269
2020-12-30,32909.5469144346
2020-12-31,35571.348967493956
2021-01-04,34603.41918833084
2021-01-05,33393.51059410635
2021-01-06,38717.11421626114
2021-01-07,41136.934550475606
2021-01-08,36297.294124028645
2021-01-11,33635.492312951246
2021-02-04,36055.312405183744
2021-02-05,36781.25756171844
2021-02-08,39927.023052467586
2021-02-09,41136.9345504756
2021-02-10,41136.9345504756
2021-02-11,40894.952831630704
2021-02-12,40169.00477131248
2021-02-16,70900.71621614302
2021-02-17,68722.87469698991
2021-02-18,66545.03922738585
2021-02-19,60495.4902067144
2021-02-22,57591.709338593675
2021-03-17,57591.709338593675
2021-03-18,57591.709338593675
2021-03-19,57591.709338593675
2021-03-22,57591.709338593675
2021-03-23,57591.709338593675
2021-03-24,57591.709338593675
2021-03-25,57591.709338593675
2021-03-26,57591.709338593675
2021-03-29,57591.709338593675
2021-03-30,57591.709338593675
2021-03-31,57591.709338593675
2021-04-01,57591.709338593675
2021-04-05,57591.709338593675
2021-04-06,57591.709338593675
2021-04-07,57591.709338593675
2021-04-08,57591.709338593675
2021-04-09,57591.709338593675
2021-04-12,57591.709338593675
2021-04-13,57591.709338593675
2021-04-14,57591.709338593675
2021-04-27,57591.709338593675
2021-04-28,57591.709338593675
2021-04-29,57591.709338593675
2021-04-30,57591.709338593675
2021-05-03,57591.709338593675
2021-05-04,57591.709338593675
2021-05-05,57591.709338593675
2021-05-06,57591.709338593675
2021-05-28,57591.709338593675
2021-06-01,57591.709338593675
2021-06-02,57591.709338593675
2021-06-03,57591.709338593675
2021-06-04,57591.709338593675
2021-06-07,57591.709338593675
2021-06-08,57591.709338593675
2021-06-09,57591.709338593675
2021-06-10,57591.709338593675
2021-06-11,57591.709338593675
2021-06-17,57591.709338593675
2021-08-03,57591.709338593675
2021-08-04,57591.709338593675
2021-08-05,57591.709338593675
2021-08-06,57591.709338593675
2021-08-09,57591.709338593675
2021-08-10,57591.709338593675
2021-08-11,57591.709338593675
2021-08-12,57591.709338593675
2021-08-13,57591.709338593675
2021-08-16,57591.709338593675
2021-09-02,57591.709338593675
2021-09-03,57591.709338593675
2021-09-07,57591.709338593675
2021-09-08,57591.709338593675
2021-09-09,57591.709338593675
2021-09-10,57591.709338593675
2021-09-13,57591.709338593675
2021-09-14,57591.709338593675
2021-09-15,57591.709338593675
2021-09-16,57591.709338593675
2021-09-17,57591.709338593675
2021-09-20,57591.709338593675
2021-10-15,57591.709338593675
2021-10-18,57591.709338593675
2021-10-19,57591.709338593675
2021-10-20,57591.709338593675
2021-10-21,57591.709338593675
2021-10-22,57591.709338593675
2021-10-25,57591.709338593675
2021-10-26,59870.52069921664
2021-10-27,63392.31259797248
2021-10-28,61527.83464360057
2021-10-29,61527.83464360057
2021-11-01,59456.18750013003
2021-11-02,66292.61681721717
2021-11-03,65463.959948607444
2021-11-04,70435.9063393765
2021-11-05,74372.02646527275
2021-11-08,70435.9063393765
2021-11-12,75615.01694729799
2021-11-15,77686.65911882234
2021-11-16,75615.01694729799
2021-11-17,74579.19068242521
2021-11-18,70643.07055652892
2021-11-30,73129.04116235816
2021-12-01,71886.05585944354
2021-12-02,66706.94525152205
2021-12-03,69192.91585735128
2022-01-18,55727.23138422178
2022-02-07,55727.23138422178
2022-02-08,55727.23138422178
2022-02-09,55727.23138422178
2022-02-10,55727.23138422178
2022-02-11,55727.23138422178
2022-02-14,55727.23138422178
2022-02-15,55727.23138422178
