date,equity_curve
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,100000.0
2020-04-01,100000.0
2020-04-02,100000.0
2020-04-03,100000.0
2020-04-06,100000.0
2020-04-07,100000.0
2020-04-08,100000.0
2020-04-09,100000.0
2020-04-13,100000.0
2020-04-14,100000.0
2020-04-15,100000.0
2020-04-16,100000.0
2020-04-17,100000.0
2020-04-20,100000.0
2020-04-21,100000.0
2020-04-22,100000.0
2020-04-23,100000.0
2020-04-24,100000.0
2020-04-27,100000.0
2020-04-28,100000.0
2020-04-29,100000.0
2020-04-30,100000.0
2020-05-01,100000.0
2020-05-04,100000.0
2020-05-05,100000.0
2020-05-06,100000.0
2020-05-07,100000.0
2020-05-08,100000.0
2020-05-11,100000.0
2020-05-12,100000.0
2020-05-13,100000.0
2020-05-14,100000.0
2020-05-15,100000.0
2020-05-18,100000.0
2020-05-19,100000.0
2020-05-20,100000.0
2020-05-21,100000.0
2020-05-22,100000.0
2020-05-26,100000.0
2020-05-27,100000.0
2020-05-28,100000.0
2020-05-29,100000.0
2020-06-01,100000.0
2020-06-02,100000.0
2020-06-03,100000.0
2020-06-04,100000.0
2020-06-05,100000.0
2020-06-08,100000.0
2020-06-09,100000.0
2020-06-10,100000.0
2020-06-11,95198.98032952439
2020-06-12,96020.89167780726
2020-06-15,97208.38959242098
2020-06-16,99784.63242703372
2020-06-17,99645.74903738569
2020-06-18,99685.4236503936
2020-06-19,99115.7695242205
2020-06-22,101709.01576440808
2020-06-23,103879.94403379326
2020-06-24,102046.27221909568
2020-06-25,103401.0014302969
2020-06-26,100223.91821281837
2020-06-29,102533.73876949975
2020-06-30,103389.66582658039
2020-07-01,103194.07772540524
2020-07-02,103194.07772540524
2020-07-06,105954.55526218034
2020-07-07,105625.81385675236
2020-07-08,108085.83561150204
2020-07-09,108550.64874976923
2020-07-10,108550.64874976923
2020-07-13,108550.64874976923
2020-07-14,108550.64874976923
2020-07-15,108550.64874976923
2020-07-16,108550.64874976923
2020-07-17,108550.64874976923
2020-07-20,108550.64874976923
2020-07-21,108550.64874976923
2020-07-22,108550.64874976923
2020-07-23,108550.64874976923
2020-07-24,108550.64874976923
2020-07-27,108550.64874976923
2020-07-28,108550.64874976923
2020-07-29,108550.64874976923
2020-07-30,108550.64874976923
2020-07-31,108550.64874976923
2020-08-03,108550.64874976923
2020-08-04,108550.64874976923
2020-08-05,108550.64874976923
2020-08-06,108550.64874976923
2020-08-07,106082.6617311678
2020-08-10,107624.56271070882
2020-08-11,104423.80602784014
2020-08-12,107894.27065585453
2020-08-13,109803.74576153544
2020-08-14,109705.87210070477
2020-08-17,109419.45420077907
2020-08-18,110331.22383274509
2020-08-19,110469.65316717332
2020-08-20,112920.93771083132
2020-08-21,118740.0336061384
2020-08-24,120160.18528668511
2020-08-25,119174.42511188856
2020-08-26,120795.07381028516
2020-08-27,119351.06893108436
2020-08-28,119157.7450764547
2020-08-31,123198.62203728886
2020-09-01,128105.94830062991
2020-09-02,125451.76571159993
2020-09-03,115407.99831255221
2020-09-04,115407.99831255221
2020-09-08,115407.99831255221
2020-09-09,115407.99831255221
2020-09-10,115407.99831255221
2020-09-11,115407.99831255221
2020-09-14,115407.99831255221
2020-09-15,115407.99831255221
2020-09-16,115407.99831255221
2020-09-17,115407.99831255221
2020-09-18,115407.99831255221
2020-09-21,115407.99831255221
2020-09-22,115407.99831255221
2020-09-23,115407.99831255221
2020-09-24,115407.99831255221
2020-09-25,115407.99831255221
2020-09-28,115407.99831255221
2020-09-29,115407.99831255221
2020-09-30,115407.99831255221
2020-10-01,115407.99831255221
2020-10-02,115407.99831255221
2020-10-05,115407.99831255221
2020-10-06,115407.99831255221
2020-10-07,115407.99831255221
2020-10-08,115407.99831255221
2020-10-09,115407.99831255221
2020-10-12,115407.99831255221
2020-10-13,115407.99831255221
2020-10-14,115407.99831255221
2020-10-15,115407.99831255221
2020-10-16,115407.99831255221
2020-10-19,115407.99831255221
2020-10-20,115407.99831255221
2020-10-21,115407.99831255221
2020-10-22,115407.99831255221
2020-10-23,115407.99831255221
2020-10-26,115407.99831255221
2020-10-27,115407.99831255221
2020-10-28,115407.99831255221
2020-10-29,115407.99831255221
2020-10-30,115407.99831255221
2020-11-02,115407.99831255221
2020-11-03,115407.99831255221
2020-11-04,115407.99831255221
2020-11-05,115407.99831255221
2020-11-06,115407.99831255221
2020-11-09,115407.99831255221
2020-11-10,115407.99831255221
2020-11-11,115407.99831255221
2020-11-12,115407.99831255221
2020-11-13,115407.99831255221
2020-11-16,115407.99831255221
2020-11-17,115407.99831255221
2020-11-18,115407.99831255221
2020-11-19,115407.99831255221
2020-11-20,115407.99831255221
2020-11-23,115407.99831255221
2020-11-24,115407.99831255221
2020-11-25,115407.99831255221
2020-11-27,115407.99831255221
2020-11-30,115407.99831255221
2020-12-01,115407.99831255221
2020-12-02,115407.99831255221
2020-12-03,115407.99831255221
2020-12-04,115407.99831255221
2020-12-07,115407.99831255221
2020-12-08,115407.99831255221
2020-12-09,115407.99831255221
2020-12-10,115407.99831255221
2020-12-11,115407.99831255221
2020-12-14,115407.99831255221
2020-12-15,115407.99831255221
2020-12-16,115407.99831255221
2020-12-17,115407.99831255221
2020-12-18,115407.99831255221
2020-12-21,115407.99831255221
2020-12-22,115407.99831255221
2020-12-23,115407.99831255221
2020-12-24,115407.99831255221
2020-12-28,115407.99831255221
2020-12-29,115407.99831255221
2020-12-30,115407.99831255221
2020-12-31,115407.99831255221
2021-01-04,115407.99831255221
2021-01-05,115407.99831255221
2021-01-06,115407.99831255221
2021-01-07,115407.99831255221
2021-01-08,115407.99831255221
2021-01-11,115407.99831255221
2021-01-12,115407.99831255221
2021-01-13,115407.99831255221
2021-01-14,115407.99831255221
2021-01-15,115407.99831255221
2021-01-19,115407.99831255221
2021-01-20,115407.99831255221
2021-01-21,115407.99831255221
2021-01-22,115407.99831255221
2021-01-25,115407.99831255221
2021-01-26,115407.99831255221
2021-01-27,115407.99831255221
2021-01-28,115407.99831255221
2021-01-29,115407.99831255221
2021-02-01,115407.99831255221
2021-02-02,115407.99831255221
2021-02-03,115407.99831255221
2021-02-04,115407.99831255221
2021-02-05,115407.99831255221
2021-02-08,115407.99831255221
2021-02-09,115407.99831255221
2021-02-10,115407.99831255221
2021-02-11,115407.99831255221
2021-02-12,115407.99831255221
2021-02-16,115407.99831255221
2021-02-17,115407.99831255221
2021-02-18,115407.99831255221
2021-02-19,115407.99831255221
2021-02-22,115407.99831255221
2021-02-23,115407.99831255221
2021-02-24,115407.99831255221
2021-02-25,115407.99831255221
