date,equity_curve
2020-01-03,100000.0
2020-01-06,101925.46367677303
2020-01-07,105880.225152296
2020-01-08,111090.0431896791
2020-01-09,108652.17087218566
2020-01-10,107932.1005900711
2020-01-13,118475.87514761461
2020-01-14,121423.88926086694
2020-01-15,117040.24237095898
2020-01-16,115909.34365938453
2020-01-17,115234.4157887937
2020-01-21,115234.4157887937
2020-01-22,115234.4157887937
2020-01-23,115234.4157887937
2020-01-24,115234.4157887937
2020-01-27,115234.4157887937
2020-01-28,115234.4157887937
2020-01-29,115234.4157887937
2020-01-30,115234.4157887937
2020-01-31,115234.4157887937
2020-02-03,115234.4157887937
2020-02-04,115234.4157887937
2020-02-05,115234.4157887937
2020-02-19,115234.4157887937
2020-02-20,115234.4157887937
2020-02-21,115234.4157887937
2020-02-24,115234.4157887937
2020-02-25,115234.4157887937
2020-02-26,115234.4157887937
2020-03-25,115234.4157887937
2020-03-26,115234.4157887937
2020-03-27,115234.4157887937
2020-03-30,115234.4157887937
2020-03-31,115234.4157887937
2020-04-01,115234.4157887937
2020-04-02,115234.4157887937
2020-04-03,115234.4157887937
2020-04-06,115234.4157887937
2020-04-07,115234.4157887937
2020-04-08,115234.4157887937
2020-04-09,115234.4157887937
2020-04-13,115234.4157887937
2020-04-14,115234.4157887937
2020-04-15,115234.4157887937
2020-04-16,115234.4157887937
2020-04-17,115234.4157887937
2020-04-20,115234.4157887937
2020-04-21,115234.4157887937
2020-04-22,115234.4157887937
2020-04-23,115234.4157887937
2020-04-24,115234.4157887937
2020-04-27,115234.4157887937
2020-04-28,115234.4157887937
2020-04-29,115234.4157887937
2020-04-30,115234.4157887937
2020-05-21,115234.4157887937
2020-05-22,115234.4157887937
2020-05-26,115234.4157887937
2020-05-27,115234.4157887937
2020-05-28,115234.4157887937
2020-05-29,115234.4157887937
2020-06-01,115234.4157887937
2020-06-02,115234.4157887937
2020-06-03,115234.4157887937
2020-06-04,115234.4157887937
2020-06-05,115234.4157887937
2020-06-08,115234.4157887937
2020-06-09,115234.4157887937
2020-06-10,115234.4157887937
2020-06-11,115234.4157887937
2020-06-12,115234.4157887937
2020-06-29,124360.46632753774
2020-06-30,133041.7365729526
2020-07-01,137947.89103955444
2020-07-02,148917.14056678922
2020-07-06,168990.2682467756
2020-07-07,171242.5178929441
2020-07-08,168287.98505743564
2020-07-09,171787.10567406114
2020-07-10,190313.96108128104
2020-07-13,184450.46689501478
2020-07-14,186882.6055149339
2020-07-15,190481.51245829332
2020-07-16,184891.54590747444
2020-07-17,184916.1928800522
2020-08-12,191559.59121928233
2020-08-13,199720.9206561579
2020-08-14,203381.4449847585
2020-08-17,226166.38654818595
2020-08-18,232505.46266979765
2020-08-19,231450.80413165822
2020-08-20,231450.80413165822
2020-08-21,231450.80413165822
2020-08-24,231450.80413165822
2020-08-25,231450.80413165822
2020-08-26,231450.80413165822
2020-08-27,231450.80413165822
2020-08-28,231450.80413165822
2020-08-31,231450.80413165822
2020-09-01,231450.80413165822
2020-09-15,231450.80413165822
2020-09-16,231450.80413165822
2020-09-17,231450.80413165822
2020-09-18,231450.80413165822
2020-09-21,231450.80413165822
2020-09-22,231450.80413165822
2020-09-23,231450.80413165822
2020-09-24,231450.80413165822
2020-09-25,231450.80413165822
2020-09-28,231450.80413165822
2020-09-29,231450.80413165822
2020-09-30,231450.80413165822
2020-10-01,231450.80413165822
2020-10-02,231450.80413165822
2020-10-05,231450.80413165822
2020-10-06,231450.80413165822
2020-10-07,231450.80413165822
2020-10-08,231450.80413165822
2020-10-09,231450.80413165822
2020-10-12,231450.80413165822
2020-10-13,231450.80413165822
2020-10-14,231450.80413165822
2020-10-15,231450.80413165822
2020-10-16,231450.80413165822
2020-10-19,231450.80413165822
2020-10-20,231450.80413165822
2020-10-21,231450.80413165822
2020-10-22,231450.80413165822
2020-10-23,231450.80413165822
2020-10-26,231450.80413165822
2020-10-27,231450.80413165822
2020-10-28,231450.80413165822
2020-11-09,231450.80413165822
2020-11-10,231450.80413165822
2020-11-11,231450.80413165822
2020-11-12,231450.80413165822
2020-11-13,231450.80413165822
2020-11-16,231450.80413165822
2020-11-17,231450.80413165822
2020-11-18,231450.80413165822
2020-11-19,231450.80413165822
2020-11-20,231450.80413165822
2020-11-23,231450.80413165822
2020-11-24,231450.80413165822
2020-11-25,231450.80413165822
2020-11-27,231450.80413165822
2020-11-30,231450.80413165822
2020-12-01,231450.80413165822
2020-12-02,231450.80413165822
2020-12-03,231450.80413165822
2020-12-04,231450.80413165822
2020-12-07,231450.80413165822
2020-12-08,231450.80413165822
2020-12-17,231450.80413165822
2020-12-18,231450.80413165822
2020-12-21,231450.80413165822
2020-12-22,231450.80413165822
2020-12-23,231450.80413165822
2020-12-24,231450.80413165822
2020-12-28,231450.80413165822
2020-12-29,231450.80413165822
2020-12-30,231450.80413165822
2020-12-31,231450.80413165822
2021-01-04,231450.80413165822
2021-01-05,231450.80413165822
2021-01-06,231450.80413165822
2021-01-07,231450.80413165822
2021-01-08,231450.80413165822
2021-01-11,231450.80413165822
2021-01-12,231450.80413165822
2021-01-13,231450.80413165822
2021-01-14,231450.80413165822
2021-01-15,231450.80413165822
2021-01-19,231450.80413165822
2021-01-20,231450.80413165822
2021-01-21,231450.80413165822
2021-01-25,231450.80413165822
2021-01-26,231450.80413165822
2021-01-27,231450.80413165822
2021-02-08,231450.80413165822
2021-02-09,231450.80413165822
2021-02-10,231450.80413165822
2021-02-11,231450.80413165822
2021-03-10,231450.80413165822
2021-03-11,231450.80413165822
2021-03-12,231450.80413165822
2021-03-15,231450.80413165822
2021-03-16,231450.80413165822
2021-03-17,231450.80413165822
2021-03-18,215406.46597267664
2021-03-19,215970.40119563803
2021-03-22,220960.14469353697
2021-03-23,218374.58738686424
2021-03-24,207857.53901444873
2021-03-25,211195.03006900402
2021-03-26,204045.1527582496
2021-03-29,201598.10718072092
2021-03-30,209621.92934059267
2021-03-31,220277.47435420175
2021-04-01,218239.3667305317
2021-04-05,227902.2619545506
2021-04-06,228090.2303035707
2021-04-07,221280.04262607815
2021-04-08,225511.27023047153
2021-04-09,223275.29086344576
2021-04-12,231506.8730730584
2021-04-13,251406.48705044267
2021-04-14,241483.05390809433
2021-04-15,243666.28558243258
2021-04-16,243666.28558243258
2021-04-19,243666.28558243258
2021-04-20,243666.28558243258
2021-04-21,243666.28558243258
2021-04-22,243666.28558243258
2021-04-23,243666.28558243258
2021-04-26,243666.28558243258
2021-04-27,243666.28558243258
2021-04-28,243666.28558243258
2021-05-24,243666.28558243258
2021-05-25,243666.28558243258
2021-05-26,243666.28558243258
2021-05-27,243666.28558243258
2021-05-28,243666.28558243258
2021-06-01,243666.28558243258
2021-06-02,243666.28558243258
2021-06-18,243666.28558243258
2021-06-21,243666.28558243258
2021-06-22,243666.28558243258
2021-06-23,243666.28558243258
2021-06-24,243666.28558243258
2021-06-25,243666.28558243258
2021-06-28,243666.28558243258
2021-06-29,243666.28558243258
2021-06-30,243666.28558243258
2021-07-01,243666.28558243258
2021-07-02,243666.28558243258
2021-07-06,243666.28558243258
2021-07-13,243666.28558243258
2021-07-14,243666.28558243258
2021-07-15,243666.28558243258
2021-07-16,243666.28558243258
2021-07-29,243666.28558243258
2021-07-30,243666.28558243258
2021-08-02,243666.28558243258
2021-08-03,243666.28558243258
2021-08-04,243666.28558243258
2021-08-05,243666.28558243258
2021-08-06,243666.28558243258
2021-08-09,243666.28558243258
2021-08-10,243666.28558243258
2021-08-11,243666.28558243258
2021-08-12,243666.28558243258
2021-08-13,243666.28558243258
2021-08-16,243666.28558243258
2021-08-30,243666.28558243258
2021-08-31,243666.28558243258
2021-09-01,243666.28558243258
2021-09-02,243666.28558243258
2021-09-03,243666.28558243258
2021-09-07,243666.28558243258
2021-09-08,243666.28558243258
2021-09-09,243666.28558243258
2021-09-10,243666.28558243258
2021-09-13,243666.28558243258
2021-09-14,243666.28558243258
2021-09-15,243666.28558243258
2021-09-16,243666.28558243258
2021-09-17,243666.28558243258
2021-09-24,243666.28558243258
2021-09-27,243666.28558243258
2021-09-28,243666.28558243258
2021-09-29,243666.28558243258
2021-09-30,243666.28558243258
2021-10-01,243666.28558243258
2021-10-04,243666.28558243258
2021-10-05,243666.28558243258
2021-10-06,243666.28558243258
2021-10-07,243666.28558243258
2021-10-08,243666.28558243258
2021-10-11,243666.28558243258
2021-10-12,243666.28558243258
2021-10-13,243666.28558243258
2021-10-14,243666.28558243258
2021-10-15,243666.28558243258
2021-10-18,243666.28558243258
2021-10-19,243666.28558243258
2021-10-20,243666.28558243258
2021-10-21,243666.28558243258
2021-10-22,247939.97477165362
2021-10-25,279333.13856234617
2021-10-26,277580.5883701878
2021-10-27,282876.39263884875
2021-10-28,293555.18826019374
2021-10-29,303628.91451673553
2021-11-01,329410.1148091557
2021-11-02,319437.22512693424
2021-11-03,330846.4808163502
2021-11-04,335221.031535244
2021-11-05,333089.6392558703
2021-11-19,309914.0700790641
2021-11-22,315313.43084286974
2021-11-23,302274.2957519153
2021-11-24,304174.0209284057
2021-11-26,294885.2778595958
2021-11-29,309895.00570247055
2021-11-30,312012.7734468998
2021-12-01,298450.3162335163
2021-12-02,295615.7129723142
2021-12-23,295615.7129723142
2021-12-27,295615.7129723142
2021-12-28,295615.7129723142
2021-12-29,295615.7129723142
