date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,SR_High_1,SR_High_2,SR_High_3,SR_Low_1,SR_Low_2,SR_Low_3,chart_pattern,candle_pattern
2019-10-22,1.70000005,1.70000005,1.70000005,1.70000005,1000,1.67766669,1.76690002,1.69793713,1.69286856,1.69232388,1.82158014,0.00510063,50.12749168,1.53966703,1.69000001,1.84033299,17.79088512,0.53325963,0.05373574,-6200.00000000,50.81968113,50.81968113,50.81968113,50.81968113,1.70000005,1.65047316,43.87472500,30.24175706,59.76676348,19.37111334,-49.18031887,0.00000000,96.77827585,0.07711919,0.07711919,1.59724261,1.69286856,1.78849452,1.38999999,1.69499999,2.00000000,14.52190457,97.72581139,0.00594737,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,Flag/Pennant,
2019-10-23,1.71000004,1.71000004,1.70000005,1.70000005,1600,1.68000002,1.76400002,1.69831221,1.69354775,1.69281911,1.81917261,0.00497045,50.12749168,1.54325189,1.69250002,1.84174815,17.63641116,0.52512606,0.05165299,-6200.00000000,50.81968113,50.81968113,50.81968113,50.81968113,1.70333338,1.67144478,42.93312492,31.24099983,58.91064234,25.44532321,-49.18031887,0.00000000,97.01411027,0.07656268,0.07656268,1.60512427,1.69354775,1.78197124,1.38999999,1.69499999,2.00000000,15.04457509,97.72581139,0.00586184,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,Flag/Pennant,
2019-10-24,1.75000000,1.75000000,1.75000000,1.75000000,2200,1.68500002,1.76150002,1.70770999,1.69892416,1.69650820,1.81780286,0.00880042,54.64863035,1.54758336,1.69750002,1.84741667,17.66322873,0.67509723,0.05157427,-4000.00000000,67.21312076,67.21312076,56.28416101,89.07104025,1.75000000,1.69115809,41.46076114,34.73253440,54.69216896,87.39068475,-40.98360589,6.06060735,88.36600876,0.07690562,0.07690562,1.60939816,1.69892416,1.78845016,1.38999999,1.69499999,2.00000000,15.04457509,97.58659879,0.00591447,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,Flag/Pennant,
2019-10-25,1.75000000,1.75000000,1.75000000,1.75000000,1700,1.69000002,1.75900002,1.71539908,1.70378852,1.69995929,1.81646023,0.01170082,54.64863035,1.55258337,1.70250002,1.85241667,17.61135390,0.65842130,0.04911824,-4000.00000000,83.60656038,83.60656038,67.21312076,116.39343962,1.75000000,1.70000005,40.09356633,34.73253440,54.69216896,80.20043212,-40.98360589,6.06060735,91.52695495,0.07690562,0.07690562,1.62278881,1.70378852,1.78478824,1.38999999,1.69499999,2.00000000,14.29909917,97.58659879,0.00591447,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,Flag/Pennant,
2019-11-19,1.77999997,1.78999996,1.70000005,1.75000000,1500,1.70433337,1.72690002,1.69743433,1.70156793,1.70176161,1.78412813,-0.00289379,53.12168554,1.58605289,1.70900003,1.83194717,14.38819665,0.66673821,0.07100953,-400.00000000,72.04301290,72.04301290,65.77061093,84.58781685,1.74666667,1.25000000,43.42210510,30.49536026,51.46807984,66.94952086,-19.35483871,2.94117344,59.96469236,0.06307055,0.06307055,1.55338291,1.70156793,1.84975295,1.25000000,1.56000000,1.87000000,7.77876280,57.74830312,0.00397789,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-11-20,1.75000000,1.75000000,1.75000000,1.75000000,200,1.70766670,1.72560002,1.70699172,1.70618051,1.70487376,1.78345233,0.00140093,53.12168554,1.58735898,1.71150003,1.83564107,14.50669529,0.65506545,0.06762806,-400.00000000,77.95699194,77.95699194,71.32616756,91.21864068,1.75000000,1.26080000,42.14823280,30.49536026,51.46807984,64.65996435,-19.35483871,2.94117344,60.22706003,0.06368301,0.06368301,1.57210835,1.70618051,1.84025267,1.25000000,1.56000000,1.87000000,7.90090415,57.74830312,0.00405553,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-11-21,1.70000005,1.70000005,1.67999995,1.70000005,700,1.70766670,1.72380002,1.70572051,1.70559189,1.70455933,1.78179981,0.00076118,49.62997727,1.58605289,1.70900003,1.83194717,14.38819665,0.46339899,0.06774102,-1100.00000000,77.95699194,77.95699194,75.98566559,81.89964462,1.69333335,1.27138400,41.43037162,28.27349343,55.00407557,-7.75467437,-27.41934677,0.00000000,56.76083860,0.06307055,0.06307055,1.57095517,1.70559189,1.84022862,1.25000000,1.56000000,1.87000000,8.19308818,58.70079123,0.00397789,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,Doji
2019-11-22,1.60000002,1.62000000,1.59000003,1.62000000,500,1.70500003,1.72120002,1.69013496,1.69744028,1.69910389,1.77859585,-0.00613049,44.69448958,1.57524045,1.70250003,1.82975961,14.94973042,0.17585927,0.06975338,-1600.00000000,58.36694224,58.36694224,71.42697537,32.24687598,1.61000001,1.28175632,41.28784333,25.17002710,57.94734129,-109.54930546,-40.32258065,-7.42857143,52.41521992,0.06528279,0.06528279,1.55467372,1.69744028,1.84020685,1.25000000,1.56000000,1.87000000,8.85640896,59.97426825,0.00426184,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-11-25,1.64999998,1.64999998,1.64999998,1.64999998,600,1.70333336,1.71890002,1.68283769,1.69292216,1.69593590,1.77604940,-0.00906693,46.77846872,1.58408683,1.70500003,1.82591323,14.18336638,0.27256393,0.06786033,-1000.00000000,41.90188998,41.90188998,59.40860805,6.88845382,1.64999998,1.29192119,40.78361308,27.50711910,56.13752816,-58.28783502,-35.48387419,-5.71428686,53.36094818,0.06202716,0.06202716,1.55803813,1.69292216,1.82780619,1.25000000,1.56000000,1.87000000,9.35633908,60.45090615,0.00384737,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-11-26,1.59000003,1.59000003,1.59000003,1.59000003,300,1.69966670,1.71600003,1.66595812,1.68312005,1.68910132,1.77236525,-0.01605055,43.34829434,1.56858401,1.69950003,1.83041604,15.40641467,0.08179296,0.06748602,-1300.00000000,21.87501325,21.87501325,40.71461515,-15.80419056,1.59000003,1.30188277,40.66509643,25.77337080,58.90213924,-123.38739068,-45.16128548,-0.62499937,58.56074861,0.06715850,0.06715850,1.54965356,1.68312005,1.81658655,1.25000000,1.56000000,1.87000000,9.70593754,53.25322295,0.00451026,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-11-27,1.58000004,1.58000004,1.58000004,1.58000004,100,1.69566670,1.71300003,1.65032938,1.67329910,1.68206253,1.76855604,-0.02213685,42.79907907,1.55260644,1.69350002,1.83439361,16.63933612,0.09721378,0.06474855,-1400.00000000,18.75002151,18.75002151,27.50897491,1.23211470,1.58000004,1.31164511,40.61237341,25.48506062,59.36187466,-116.32725436,-46.77418710,-7.05882391,56.27775824,0.07227688,0.07227688,1.55063894,1.67329910,1.79595926,1.25000000,1.56000000,1.87000000,9.94389743,48.43460505,0.00522395,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
2019-12-02,1.54999995,1.58000004,1.54999995,1.58000004,300,1.68766669,1.70700003,1.62708001,1.65637410,1.66931800,1.76116241,-0.02988765,42.79907907,1.52525983,1.68150002,1.83774022,18.58343095,0.17517968,0.06015737,-1400.00000000,12.50003698,12.50003698,14.58336361,8.33338372,1.57000001,1.33058796,40.70615550,24.53032228,60.88428722,-97.98223891,-46.77418710,-7.05882391,58.83194404,0.08014953,0.08014953,1.55025091,1.65637410,1.76249729,1.25000000,1.56000000,1.87000000,10.08915980,48.43460505,0.00642395,3.75000000,4.00000000,4.80000019,0.20999999,0.28000000,0.36000001,,
