date,open,high,low,close,volume,SMA30,SMA100,EMA10,EMA20,EMA30,EMA100,MACD,RSI,BBL,BBM,BBU,BBB,BBP,ATR,OBV,STOCH,K,D,J,VWAP,PSAR,ADX,DMIp,DMIm,CCI,WILLR,ROC,MFI,STDDEV,ROLLING_STD,KCLe,KCBe,KCUe,DCL,DCM,DCU,ULCER,HVOL,VAR,SR_High_1,SR_High_2,SR_High_3,SR_Low_1,SR_Low_2,SR_Low_3,chart_pattern,candle_pattern
2023-07-03 13:30:00,0.64999998,0.69950002,0.64010000,0.66009998,91284,0.63999273,0.67281684,0.63750126,0.63803515,0.64160171,0.66323385,-0.00302330,54.68887455,0.61202541,0.63596485,0.65990429,7.52854272,1.00408714,0.01817446,58609.00000000,61.07133871,61.07133871,61.44369805,60.32662004,0.66656667,0.61697415,19.68852489,36.60312435,10.16340041,243.55888278,-43.53596061,0.16691958,45.41782434,0.01228067,0.01228067,0.59728223,0.63803515,0.67878807,0.60900003,0.65425003,0.69950002,4.08099618,24.08212890,0.00015081,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Spinning Top
2023-07-03 14:30:00,0.68750000,0.69999999,0.67009997,0.69999999,108159,0.64133820,0.67295684,0.64886467,0.64393656,0.64536934,0.66396189,0.00222423,64.22761884,0.60200842,0.63847985,0.67495128,11.42445695,1.34340187,0.01920939,166768.00000000,73.23800088,73.23800088,65.85991905,87.99416453,0.67929276,0.62192570,22.33372166,31.73695794,8.76434230,299.81754161,0.00000000,7.72545245,56.08825642,0.01870945,0.01870945,0.59946487,0.64393656,0.68840825,0.60900003,0.65450001,0.69999999,4.00522304,30.91649558,0.00035004,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-03 15:30:00,0.69989997,0.69999999,0.68019998,0.69019997,25464,0.64284486,0.67295884,0.65638018,0.64834260,0.64826164,0.66448146,0.00552843,60.92018745,0.59795012,0.64004485,0.68213957,13.15367910,1.09574122,0.01923753,141304.00000000,81.89826064,81.89826064,72.06920008,101.55638176,0.68052013,0.62817164,24.78996998,29.56220173,8.16377095,233.61513972,-10.76925748,6.23364332,59.65803017,0.02159414,0.02159414,0.60433488,0.64834260,0.69235032,0.60900003,0.65450001,0.69999999,3.90108958,31.49855590,0.00046631,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 13:30:00,0.71050000,0.71230000,0.69999999,0.70010000,20720,0.64483153,0.67304984,0.66432924,0.65327188,0.65160605,0.66518678,0.00884393,62.94424801,0.59302266,0.64232485,0.69162704,15.35117038,1.08592887,0.01937388,162024.00000000,92.47349257,92.47349257,82.53658470,112.34730832,0.70413333,0.63391791,27.40571916,31.54793615,7.54251098,226.00870578,-11.81026480,6.25284243,59.87669516,0.02529149,0.02529149,0.60924584,0.65327188,0.69729792,0.60900003,0.66065002,0.71230000,3.54780179,31.50669985,0.00063966,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 14:30:00,0.70039999,0.71740001,0.70010000,0.71179998,17114,0.64715486,0.67331684,0.67296028,0.65884598,0.65548953,0.66610981,0.01227409,65.18200390,0.58809243,0.64591485,0.70373726,17.90403599,1.06971968,0.01927510,179138.00000000,90.65056614,90.65056614,88.34077312,95.27015219,0.70668154,0.64175612,29.96183040,31.42325708,7.08780320,184.60493466,-5.16608029,8.75476992,62.68111704,0.02966227,0.02966227,0.61571766,0.65884598,0.70197431,0.60900003,0.66320002,0.71740001,3.17572481,31.64549401,0.00087985,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 15:30:00,0.71025002,0.71740001,0.69709998,0.71740001,22615,0.64945656,0.67354084,0.68104023,0.66442256,0.65948375,0.66712546,0.01526839,66.20758691,0.58480870,0.65010985,0.71541099,20.08926438,1.01522959,0.01932392,201753.00000000,94.24031863,94.24031863,92.45479245,97.81137100,0.70815997,0.65083339,32.00426321,29.19883610,7.63221299,149.01564903,0.00000000,12.09375331,69.07746308,0.03349878,0.03349878,0.62153502,0.66442256,0.70731009,0.60900003,0.66320002,0.71740001,2.94991376,30.16608117,0.00112217,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 16:30:00,0.70109999,0.71740001,0.70109999,0.71740001,10342,0.65174323,0.67371383,0.68765110,0.66946803,0.66322029,0.66812099,0.01744035,66.20758691,0.58298468,0.65416240,0.72534012,21.76148306,0.94422337,0.01917988,201753.00000000,98.17707357,98.17707357,94.35598611,105.81924848,0.70871610,0.65882138,33.90080461,27.51459212,7.19197254,126.48502434,0.00000000,13.24388834,71.11378115,0.03651340,0.03651340,0.62756025,0.66946803,0.71137580,0.60900003,0.66320002,0.71740001,2.65894440,29.70272770,0.00133323,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 17:30:00,0.71050000,0.71740001,0.69010001,0.69120002,20785,0.65325323,0.67356683,0.68829636,0.67153774,0.66502543,0.66857800,0.01685326,57.47513128,0.58412710,0.65673745,0.72934780,22.11244451,0.73731169,0.01956666,180968.00000000,91.03354302,91.03354302,94.48364507,84.13333890,0.70663946,0.66585082,34.44133738,24.92174394,10.31125749,86.83684018,-24.16973693,8.61964084,70.26847238,0.03724832,0.03724832,0.62842118,0.67153774,0.71465430,0.60900003,0.66320002,0.71740001,2.58031678,33.25528976,0.00138744,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 18:30:00,0.69120002,0.69999999,0.68000001,0.68000001,16792,0.65453990,0.67334683,0.68678793,0.67234367,0.66599153,0.66880418,0.01530777,54.26268068,0.58644543,0.65899750,0.73154956,22.01891968,0.64474096,0.01958730,164176.00000000,78.23409190,78.23409190,89.14823616,56.40580338,0.70354460,0.67203672,33.97013991,23.19710055,13.09241665,54.16996374,-34.50185138,6.29999910,67.96190272,0.03721842,0.03721842,0.62952393,0.67234367,0.71516341,0.60900003,0.66320002,0.71740001,2.47178405,33.98072619,0.00138521,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-05 19:30:00,0.68010002,0.68730003,0.68010002,0.68430001,15846,0.65538323,0.67320783,0.68633558,0.67348237,0.66717272,0.66911103,0.01426549,55.27051633,0.59134533,0.66226250,0.73317967,21.41663465,0.65537500,0.01900204,180022.00000000,66.82423441,66.82423441,78.69728977,43.07812368,0.70103854,0.67748031,33.53260003,22.58280421,12.74570852,43.29736119,-30.53506098,7.79790296,68.55790620,0.03637974,0.03637974,0.63335022,0.67348237,0.71361452,0.60900003,0.66320002,0.71740001,2.29227627,33.77592381,0.00132349,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-06 17:30:00,0.67699999,0.87000000,0.67479903,0.73859000,2087591,0.66220290,0.67245423,0.69298572,0.68159563,0.67455462,0.67128944,0.01358934,64.96967365,0.61554234,0.67875700,0.74197165,18.62659358,0.97325264,0.02745207,2306710.00000000,46.87448819,46.87448819,54.00639283,32.61067890,0.75841448,0.67215002,36.00068646,53.97887459,6.90518733,211.30242698,-52.56400000,17.21790006,95.79261614,0.03242843,0.03242843,0.60879959,0.68159563,0.75439168,0.62000000,0.74500000,0.87000000,3.54311002,43.15520426,0.00105160,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-06 18:30:00,0.73000002,0.75000000,0.70099998,0.72624999,286676,0.66529457,0.67269273,0.69903377,0.68584843,0.67788981,0.67237777,0.01543858,61.61292107,0.62347092,0.68402450,0.74457808,17.70509134,0.84866222,0.02847835,2020034.00000000,37.69792220,37.69792220,47.35601106,18.38174446,0.75459466,0.67259997,38.95186343,48.30545097,6.17942094,112.62003142,-57.50000400,17.13709516,87.35961292,0.03106333,0.03106333,0.61065200,0.68584843,0.76104486,0.62070000,0.74535000,0.87000000,3.57113641,43.20360436,0.00096493,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Doji
2023-07-06 19:30:00,0.73390001,0.74760002,0.71869999,0.73000002,99314,0.66841627,0.67289223,0.70466400,0.69005334,0.68125176,0.67351880,0.01701061,62.23550916,0.62930760,0.68874200,0.74817640,17.25882823,0.84708873,0.02849844,2119348.00000000,30.28180055,30.28180055,38.28473698,14.27592769,0.75371883,0.67479903,41.69223973,45.28245172,5.79270713,119.77267521,-56.15723225,17.57127452,88.08200048,0.03048920,0.03048920,0.61651371,0.69005334,0.76359297,0.62500000,0.74750000,0.87000000,3.56505691,43.15696825,0.00092959,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,Spinning Top
2023-07-12 15:30:00,0.77999997,0.82999998,0.77999997,0.79890001,82324,0.74193470,0.68519524,0.76582610,0.75332972,0.74163301,0.70368745,0.01701169,63.82512667,0.72910280,0.75705505,0.78500731,7.38447120,1.24850766,0.02776837,2358732.00000000,79.90966838,79.90966838,72.95156170,93.82588175,0.78479616,0.66000003,31.70314738,35.45213074,13.24502877,348.38968735,-25.91664167,10.49792822,75.56959080,0.01433920,0.01433920,0.69826593,0.75332972,0.80839351,0.72000003,0.77500000,0.82999998,1.70785916,31.94157524,0.00020561,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
2023-07-12 16:30:00,0.79890001,0.79890001,0.78200001,0.78210098,16919,0.74513473,0.68627125,0.76878517,0.75606984,0.74424384,0.70524019,0.01726146,59.75179257,0.72881150,0.75862510,0.78843870,7.85990339,0.89371087,0.02725080,2341813.00000000,73.28369341,73.28369341,76.67575547,66.49956930,0.78506090,0.66340003,32.69595614,33.87625149,12.65627527,183.75166314,-43.54456525,7.15179888,72.56053837,0.01529405,0.01529405,0.70303117,0.75606984,0.80910851,0.72000003,0.77500000,0.82999998,1.79657119,33.12048906,0.00023391,2.66499996,3.79959989,4.87900019,0.10120000,0.13130000,0.13500001,,
